count,local_dummy,minuto,name,numero,posicion
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/95382/andres-eduardo-sanchez-rodriguez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/95382/95382.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/95382/95382.jpg""/>
</a>
</div>","<strong class=""numero"">
<span class=""posicionJ guantes""> </span> 
                                                    
                                                    #24
                                                </strong>","<span class=""posicion"">Portero</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/98989/jose-rivaldo-lozano-silva"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/98989/98989.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/98989/98989.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #17
                                                </strong>","<span class=""posicion"">Defensa Lateral</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/72854/juan-david-castro-ruiz"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/72854/72854.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/72854/72854.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #2
                                                </strong>","<span class=""posicion"">Medio</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/92460/william-sergio-mejia-castillo"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/92460/92460.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/92460/92460.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #6
                                                </strong>","<span class=""posicion"">Medio</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/104152/zahid-yibram-munoz-lopez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/104152/104152.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/104152/104152.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #11
                                                </strong>","<span class=""posicion"">Medio</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/149071/jhon-fredy-duque-arias"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/149071/149071.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/149071/149071.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #22
                                                </strong>","<span class=""posicion"">Medio Defensivo</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/122788/salvador-gonzalez-gonzalez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/122788/122788.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/122788/122788.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #26
                                                </strong>","<span class=""posicion"">Medio</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/91098/hector-alejandro-mascorro-lopez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/91098/91098.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/91098/91098.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #33
                                                </strong>","<span class=""posicion"">Medio Ofensivo</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/150634/andres-vombergar"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150634/150634.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150634/150634.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #18
                                                </strong>","<span class=""posicion"">Delantero</span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/112205/luis-angel-calzadilla-santillan"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/112205/112205.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/112205/112205.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #28
                                                </strong>","<span class=""posicion"">Delantero</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/150536/marcelo-fabian-mendez-russo"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150536/150536.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150536/150536.jpg""/>
</a>
</div>","<strong class=""numero"">DT </strong>","<span class=""posicion"">Director Técnico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/150551/gabriel-miraballes-reynoso"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150551/150551.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150551/150551.jpg""/>
</a>
</div>","<strong class=""numero"">PF </strong>","<span class=""posicion"">Preparador Físico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/125290/juan-manuel-martinez-galicia"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/125290/125290.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/125290/125290.jpg""/>
</a>
</div>","<strong class=""numero"">DR </strong>","<span class=""posicion"">Médico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/15620/rafael-fernandez-loperena"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/15620/15620.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/15620/15620.jpg""/>
</a>
</div>","<strong class=""numero"">AX </strong>","<span class=""posicion"">Auxiliar Técnico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/150546/leonardo-miguel-lopez-delpino"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150546/150546.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150546/150546.jpg""/>
</a>
</div>","<strong class=""numero"">AX </strong>","<span class=""posicion"">Auxiliar Técnico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/145661/carlos-perez-mendoza"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/145661/145661.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/145661/145661.jpg""/>
</a>
</div>","<strong class=""numero"">TP </strong>","<span class=""posicion"">Terapista</span>"
6,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>32'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/150628/juan-manuel-sanabria-magole"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/150628/150628.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/150628/150628.jpg""/>
</a>
</div>","<strong class=""numero"">#8</strong>","<span class=""posicion"">Medio</span>"
6,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>60'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/62586/emmanuel-garcia-vaca"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/62586/62586.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/62586/62586.jpg""/>
</a>
</div>","<strong class=""numero"">#29</strong>","<span class=""posicion"">Defensa Lateral</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>61'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/109204"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/109204/109204.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/109204/109204.jpg""/>
</a>
</div>","<strong class=""numero"">#23 </strong>","<span class=""posicion"">Delantero</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>61'</span></div>","<div class=""jugador"">
<a href=""/cancha/jugador/82779"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/82779/82779.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/82779/82779.jpg""/>
</a>
</div>","<strong class=""numero"">#28 </strong>","<span class=""posicion"">Defensa Lateral</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>61'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/102894"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/102894/102894.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/102894/102894.jpg""/>
</a>
</div>","<strong class=""numero"">#5 </strong>","<span class=""posicion"">Defensa Central</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>61'</span></div>","<div class=""jugador"">
<a href=""/cancha/jugador/104680"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/104680/104680.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/104680/104680.jpg""/>
</a>
</div>","<strong class=""numero"">#189 </strong>","<span class=""posicion"">Defensa</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>71'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/92963"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/92963/92963.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/92963/92963.jpg""/>
</a>
</div>","<strong class=""numero"">#15 </strong>","<span class=""posicion"">Defensa Lateral</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>71'</span></div>","<div class=""jugador"">
<a href=""/cancha/jugador/62715"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/62715/62715.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/62715/62715.jpg""/>
</a>
</div>","<strong class=""numero"">#20 </strong>","<span class=""posicion"">Medio Ofensivo</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>81'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/48793"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/48793/48793.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/48793/48793.jpg""/>
</a>
</div>","<strong class=""numero"">#3 </strong>","<span class=""posicion"">Defensa Central</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>81'</span></div>","<div class=""jugador"">
<a href=""/cancha/jugador/35026"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/35026/35026.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/35026/35026.jpg""/>
</a>
</div>","<strong class=""numero"">#22 </strong>","<span class=""posicion"">Defensa Central</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>81'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/79865"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/79865/79865.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/79865/79865.jpg""/>
</a>
</div>","<strong class=""numero"">#16 </strong>","<span class=""posicion"">Medio Ofensivo</span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>81'</span></div>","<div class=""jugador"">
<a href=""/cancha/jugador/123299"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/123299/123299.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/72/1/123299/123299.jpg""/>
</a>
</div>","<strong class=""numero"">#195 </strong>","<span class=""posicion"">Delantero</span>"
