count,local_dummy,minuto,name,numero,posicion
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/772/carlos-briseño-guerrero"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/772/772.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/772/772.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #20
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/1743/juan-gutierrez-gutierrez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/1743/1743.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/1743/1743.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #22
                                                </strong>","<span class=""posicion""></span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/3330/enrique-everardo-meza-enriquez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3330/3330.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3330/3330.jpg""/>
</a>
</div>","<strong class=""numero"">DT </strong>","<span class=""posicion"">Director Técnico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/56413/jaime-espejel-muñoz"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/56413/56413.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/56413/56413.jpg""/>
</a>
</div>","<strong class=""numero"">PF </strong>","<span class=""posicion"">Preparador Físico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/51761/gregorio-dominguez-rodriguez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/51761/51761.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/51761/51761.jpg""/>
</a>
</div>","<strong class=""numero"">DR </strong>","<span class=""posicion"">Médico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/51762/miguel-angel-esquivel-juarez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/51762/51762.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/51762/51762.jpg""/>
</a>
</div>","<strong class=""numero"">AX </strong>","<span class=""posicion"">Auxiliar Técnico</span>"
6,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>64'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/2906/ramiro-romero-ortiz"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/2906/2906.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/2906/2906.jpg""/>
</a>
</div>","<strong class=""numero"">#15</strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>77'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/6334"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/6334/6334.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/6334/6334.jpg""/>
</a>
</div>","<strong class=""numero"">#10 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>77'</span></div>","<div class=""jugador"">
<a href=""/cancha/jugador/6317"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/6317/6317.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/6317/6317.jpg""/>
</a>
</div>","<strong class=""numero"">#15 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>78'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/3388"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3388/3388.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3388/3388.jpg""/>
</a>
</div>","<strong class=""numero"">#11 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>78'</span></div>","<div class=""jugador"">
<a href=""/cancha/jugador/8476"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/8476/8476.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/8476/8476.jpg""/>
</a>
</div>","<strong class=""numero"">#16 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>80'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/2871"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/2871/2871.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/2871/2871.jpg""/>
</a>
</div>","<strong class=""numero"">#8 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>80'</span></div>","<div class=""jugador"">
<a href=""/cancha/jugador/1778"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/1778/1778.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/1778/1778.jpg""/>
</a>
</div>","<strong class=""numero"">#22 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>46'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/12807"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/12807/12807.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/12807/12807.jpg""/>
</a>
</div>","<strong class=""numero"">#23 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>46'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/2906"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/2906/2906.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/2906/2906.jpg""/>
</a>
</div>","<strong class=""numero"">#15 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>68'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/4021"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/4021/4021.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/4021/4021.jpg""/>
</a>
</div>","<strong class=""numero"">#13 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>68'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/431"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/431/431.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/431/431.jpg""/>
</a>
</div>","<strong class=""numero"">#8 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>77'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/4818"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/4818/4818.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/4818/4818.jpg""/>
</a>
</div>","<strong class=""numero"">#16 </strong>","<span class=""posicion""></span>"
5,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>77'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/8345"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/8345/8345.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/8345/8345.jpg""/>
</a>
</div>","<strong class=""numero"">#7 </strong>","<span class=""posicion""></span>"
1,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>85'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/6332/jose-manuel-abundis-sandoval"">
<img alt=""José Abundis"" onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/6332/6332.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/6332/6332.jpg""/>
</a>
</div>","<strong class=""numero"">#23 </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/13788/luis-alberto-islas-ranieri"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/13788/13788.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/13788/13788.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #1
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/3375/luis-armando-gonzalez-bejarano"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3375/3375.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3375/3375.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #7
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/51732/marcelino-bernal-perez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/51732/51732.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/51732/51732.jpg""/>
</a>
</div>","<strong class=""numero"">
<span class=""posicionJ capitan""> </span> 
                                                    #8
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/14769/fabian-raphael-estay-silva"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/14769/14769.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/14769/14769.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #10
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/51334/efrain-herrera-gonzalez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/51334/51334.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/51334/51334.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #11
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/3645/alberto-macias-hernandez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3645/3645.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3645/3645.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #13
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/13955/carlos-maria-morales-maeso"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/13955/13955.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/13955/13955.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #15
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/2104/jose-david-rangel-torres"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/2104/2104.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/2104/2104.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #18
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/10388/adrian-israel-garcia-arias"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/10388/10388.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/10388/10388.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #19
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/3263/antonio-de-jesus-taboada-herrera"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3263/3263.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3263/3263.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #26
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/442/jose-jaime-ordiales-dominguez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/442/442.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/442/442.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #58
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/3124/manuel-vidrio-solis"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3124/3124.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3124/3124.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #3
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/9169/hector-omar-blanco-gomez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/9169/9169.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/9169/9169.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #5
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/12710/jose-saturnino-cardozo-otazu"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/12710/12710.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/12710/12710.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #9
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/3653/jesus-salvador-alfaro-coronado"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3653/3653.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3653/3653.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #12
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/17185/edvaldo-goncalves-pereira"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/17185/17185.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/17185/17185.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #17
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/6332/jose-manuel-abundis-sandoval"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/6332/6332.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/6332/6332.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #23
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/10392/enrique-alfaro-rojas"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/10392/10392.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/10392/10392.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #27
                                                </strong>","<span class=""posicion""></span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/14826/juan-manuel-alvarez-alvarez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/14826/14826.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/14826/14826.jpg""/>
</a>
</div>","<strong class=""numero"">DT </strong>","<span class=""posicion"">Director Técnico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/56533/jesus-alcala-quintos"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/56533/56533.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/56533/56533.jpg""/>
</a>
</div>","<strong class=""numero"">PF </strong>","<span class=""posicion"">Preparador Físico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/51832/jose-luis-serrano-diaz"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/51832/51832.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/51832/51832.jpg""/>
</a>
</div>","<strong class=""numero"">DR </strong>","<span class=""posicion"">Médico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/51897/juan-manuel-martinez-fabila"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/51897/51897.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/51897/51897.jpg""/>
</a>
</div>","<strong class=""numero"">AX </strong>","<span class=""posicion"">Auxiliar Técnico</span>"
4,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/cuerpotecnico/52771/alejandro-hernandez-pat"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/52771/52771.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/52771/52771.jpg""/>
</a>
</div>","<strong class=""numero"">AX </strong>","<span class=""posicion"">Auxiliar Técnico</span>"
6,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>28'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/51334/efrain-herrera-gonzalez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/51334/51334.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/51334/51334.jpg""/>
</a>
</div>","<strong class=""numero"">#11</strong>","<span class=""posicion""></span>"
6,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>44'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/13955/carlos-maria-morales-maeso"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/13955/13955.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/13955/13955.jpg""/>
</a>
</div>","<strong class=""numero"">#15</strong>","<span class=""posicion""></span>"
6,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>70'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/10388/adrian-israel-garcia-arias"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/10388/10388.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/10388/10388.jpg""/>
</a>
</div>","<strong class=""numero"">#19</strong>","<span class=""posicion""></span>"
6,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>70'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/10392/enrique-alfaro-rojas"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/10392/10392.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/10392/10392.jpg""/>
</a>
</div>","<strong class=""numero"">#27</strong>","<span class=""posicion""></span>"
1,0,"<div class=""col-xs-2 minutoGol""><small>min</small><span>85'</span></div>","<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/6332/jose-manuel-abundis-sandoval"">
<img alt=""José Abundis"" onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/6332/6332.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/6332/6332.jpg""/>
</a>
</div>","<strong class=""numero"">#23 </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/13788/luis-alberto-islas-ranieri"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/13788/13788.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/13788/13788.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #1
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/3375/luis-armando-gonzalez-bejarano"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3375/3375.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3375/3375.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #7
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/51732/marcelino-bernal-perez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/51732/51732.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/51732/51732.jpg""/>
</a>
</div>","<strong class=""numero"">
<span class=""posicionJ capitan""> </span> 
                                                    #8
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/14769/fabian-raphael-estay-silva"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/14769/14769.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/14769/14769.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #10
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/51334/efrain-herrera-gonzalez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/51334/51334.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/51334/51334.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #11
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/3645/alberto-macias-hernandez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3645/3645.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3645/3645.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #13
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/13955/carlos-maria-morales-maeso"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/13955/13955.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/13955/13955.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #15
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/2104/jose-david-rangel-torres"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/2104/2104.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/2104/2104.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #18
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/10388/adrian-israel-garcia-arias"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/10388/10388.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/10388/10388.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #19
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/3263/antonio-de-jesus-taboada-herrera"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3263/3263.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3263/3263.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #26
                                                </strong>","<span class=""posicion""></span>"
2,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/442/jose-jaime-ordiales-dominguez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/442/442.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/442/442.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #58
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/3124/manuel-vidrio-solis"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/3124/3124.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/3124/3124.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #3
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/9169/hector-omar-blanco-gomez"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/9169/9169.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/9169/9169.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #5
                                                </strong>","<span class=""posicion""></span>"
3,0,,"<div class=""jugador"">
<a class=""loadershow"" href=""/cancha/jugador/12710/jose-saturnino-cardozo-otazu"">
<img onerror=""this.src='http://www.ligamx.net/docs/archdgtl/AfldDrvd/photos/12710/12710.jpg'"" src=""https://s3.amazonaws.com/lmxwebsite/media/wpagephotos/47/53/12710/12710.jpg""/>
</a>
</div>","<strong class=""numero"">
                                                    
                                                    
                                                    #9
                                                </strong>","<span class=""posicion""></span>"
